sample_id,sample_kind,claim_id,capsule_id,capsule_path,discipline,risk,clinical_validity,criticality,claim_type,source_layers,source_types,source_availability,capsule_source_resolution,statement_or_title
rt:8b032c4023ba1e49,current_claim,claim:thi.prophylaxis,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,capsules/EISM/abstinencia_alcoolica_delirium_tremens_wernicke.md,EISM,high,current,high,dose,A_PRIME,guideline,metadata_only,resolved,Profilaxia típica: tiamina 100 mg IV/IM/dia por 3–5 dias.
rt:c6373f442a5feae8,current_claim,claim:li.charcoal,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,capsules/EISM/transtorno_bipolar_e_estabilizadores_do_humor.md,EISM,high,current,high,contraindication,A_PRIME,article,metadata_only,resolved,Carvão ativado não adsorve lítio.
rt:e5cf20b251a574be,current_claim,claim:li.ectr-recommended,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,capsules/EISM/transtorno_bipolar_e_estabilizadores_do_humor.md,EISM,high,current,high,threshold,A_PRIME,article,metadata_only,resolved,ECTR recomendada com função renal prejudicada e Li >4 ou sintomas graves independentemente do nível.
rt:7bf9c7cb7a6e99d3,historical_panel,,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,capsules/EISA_II/estado_de_mal_epileptico_sequencia_doses.md,EISA_II,high,historical_panel,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,resolved,resolved,Estado de mal epiléptico — fases terapêuticas e doses
rt:3c3d57df53862be1,historical_panel,,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,capsules/EISCA/imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva.md,EISCA,high,historical_panel,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,resolved,resolved,Imunizações — calendário PNI 2026 e princípios
rt:ac9ea4b9cfa9ee35,historical_panel,,capsule:eism:transtornos_mentais_na_gravidez_e_puerperio,capsules/EISM/transtornos_mentais_na_gravidez_e_puerperio.md,EISM,high,historical_panel,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,resolved,resolved,Transtornos Mentais na Gravidez e no Puerpério
rt:63a1404ccd33b041,metadata_only_capsule,,capsule:eisa_ii:erisipela,capsules/EISA_II/erisipela.md,EISA_II,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,Erisipela
rt:e20918c62314dfc0,metadata_only_capsule,,capsule:eisa_ii:otites_aguda_cronica_externa,capsules/EISA_II/otites_aguda_cronica_externa.md,EISA_II,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,"Otites (aguda, média crônica e externa)"
rt:563716bd3363541c,metadata_only_capsule,,capsule:eisca:pneumonia_adquirida_na_comunidade_na_infancia,capsules/EISCA/pneumonia_adquirida_na_comunidade_na_infancia.md,EISCA,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,Pneumonia adquirida na comunidade na infância
rt:e39103eef6285086,metadata_only_capsule,,capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,Sepse neonatal e meningite neonatal
rt:d2dcf367c09f87df,metadata_only_capsule,,capsule:osce:osce_nefrologia,capsules/OSCE/osce_nefrologia.md,OSCE,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,"OSCE Nefrologia — síndromes glomerulares, glomerulopatias, DRC e injúria renal aguda"
rt:ea2613b03215af88,metadata_only_capsule,,capsule:osce:osce_banco_de_estacoes,capsules/OSCE/osce_banco_de_estacoes.md,OSCE,high,unregistered_pending,sampled_by_capsule_risk,capsule_surface,curricular_mixed,capsule,metadata_only,metadata_only,Banco de estações OSCE modeladas com comandos e gabarito
rt:11e3875cfe0429a6,quarantined_claim,claim:sem.vitals,capsule:eisca:semiologia_pediatrica,capsules/EISCA/semiologia_pediatrica.md,EISCA,high,quarantined,high,threshold,A,faculty_slide,local_only,resolved,Faixas exatas de FC/FR/PA da aula não foram validadas em fonte clínica atual.
rt:54cf67bb9d01eaa9,quarantined_claim,claim:bf.medicines,capsule:eisca:aleitamento_materno,capsules/EISCA/aleitamento_materno.md,EISCA,high,quarantined,high,contraindication,A_PRIME,guideline,metadata_only,resolved,Listas antigas de fármacos não devem decidir suspensão; avaliar por fármaco/dose/contexto.
rt:ad837e6b0eb9ebd5,quarantined_claim,claim:asth.under5-doses,capsule:eisca:asma_em_pediatria,capsules/EISCA/asma_em_pediatria.md,EISCA,high,quarantined,high,dose,A_PRIME,guideline,metadata_only,resolved,Doses em gotas e cortes de FC do material para <=5 anos não foram validados.
rt:bb8465921c7139a5,quarantined_claim,claim:sepse-neonatal.amniorrexe-fator-risco-maior,capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,quarantined,high,threshold,A_PRIME,article guideline,metadata_only,metadata_only,"A capsula apresenta ruptura de membranas >18 horas como fator de risco maior, sem qualificar idade gestacional."
rt:c99d81eb8eef1e49,quarantined_claim,claim:sepse-neonatal.janela-precoce-tardia,capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,quarantined,high,time_window,A_PRIME,article guideline,metadata_only,metadata_only,A capsula usa sepse neonatal precoce nas primeiras 72h e tardia apos 72h como convencao curricular.
rt:1c99e111f33f30ff,quarantined_claim,claim:thi.wernicke-high-dose,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,capsules/EISM/abstinencia_alcoolica_delirium_tremens_wernicke.md,EISM,high,quarantined,high,dose,A_PRIME,guideline,metadata_only,resolved,Alta dose para Wernicke suspeita depende do protocolo; não há dose universal resolvida.
rt:5e6d3b25142129d3,quarantined_claim,claim:clo.thresholds-us,capsule:eism:antipsicoticos_sep_e_snm,capsules/EISM/antipsicoticos_sep_e_snm.md,EISM,high,quarantined,high,threshold,A_PRIME,guideline,metadata_only,resolved,"Limiar ANC FDA: normal >=1500, leve 1000–1499, moderada 500–999, grave <500."
rt:ac8f9c8622bf336e,quarantined_claim,claim:clo.rems-us,capsule:eism:antipsicoticos_sep_e_snm,capsules/EISM/antipsicoticos_sep_e_snm.md,EISM,high,quarantined,high,guideline_dependent,A_PRIME,guideline,metadata_only,resolved,"REMS EUA foi removido em 2025, mas monitorização permanece; Brasil não resolvido."
rt:f05d54ecd3fe9ddd,quarantined_claim,claim:clo.anc-us,capsule:eism:antipsicoticos_sep_e_snm,capsules/EISM/antipsicoticos_sep_e_snm.md,EISM,high,quarantined,high,guideline_dependent,A_PRIME,guideline,metadata_only,resolved,"Rótulo FDA 2025: ANC semanal 0–6m, quinzenal 6–12m, mensal depois."
rt:1e9eb274f4b39f11,quarantined_claim,claim:osce.synthetic-rubric,capsule:osce:formato_roteiro_osce_p7,capsules/OSCE/formato_roteiro_osce_p7.md,OSCE,low,quarantined,high,other,B,student_summary,local_only,metadata_only,"Pesos, imperdoáveis e checklist reconstruído não são oficiais sem instrumento aplicado."
