claim_id,category,occurrence_count,clinical_validity,practice_current_eligibility,normalized_statement,numeric_values,routes,population_markers,context_markers,jurisdiction_markers
candidate-claim:48f8b737f3180c7580b1,calendario_regra_jurisdicional,1,pending,blocked,hpv rotina pni 2026 9–14a11m29d dose unica janela,2026 ; 9,,,,pni
candidate-claim:8ab0606c9f272b2625a0,calendario_regra_jurisdicional,1,pending,blocked,idade exata historico documentado condicao especial e jurisdicao (pni/sus,,,,,pni ; sus
candidate-claim:966bb37f708e254badbc,calendario_regra_jurisdicional,1,pending,blocked,intervalo entre os 2 exames neurologicos de me por faixa etaria >2 anos 6h 1-2 anos 12h 2 meses-1 ano 24h 7 dias-2 meses 48h neuro coma p 11 confirmar no slide — fonte unica e protocolo legal (resolucao do cfm) sujeito a atualizacao periodica nao usar este valor como definitivo sem checar a resolucao vigente na epoca da prova,1 ; 11 ; 12h ; 2 ; 2 anos ; 2 meses ; 24h ; 48h ; 6h ; 7 dias,,,,cfm
candidate-claim:2685d10236da910f6f01,calendario_regra_jurisdicional,1,pending,blocked,motivos de quebra da confidencialidade (lista consolidada 3 fontes) risco de morte (suicidio doencas fuga de casa) notificacao compulsoria (maus-tratos) intencao de abortar gravidez abuso de drogas licitas/ilicitas anorexia e bulimia nervosas ferimentos/atos autodestrutivos pediatria adolesc p 4 semiologia do adolescente p 3 anotacoes p 1 confirmado (lista de semiologia do adolescente e anotacoes e mais extensa que a de pediatria adolesc que cita so os 4 primeiros itens — tratado como divergencia de completude nao de conteudo ver abaixo),1 ; 3 ; 4,,gravidez,,
candidate-claim:618276ea3809a3378d3d,calendario_regra_jurisdicional,1,pending,blocked,motivos que quebram confidencialidade risco de morte notificacao compulsoria aborto gravidez drogas anorexia/bulimia autolesao pegadinha,,,gravidez,,
candidate-claim:b785ca707c5466d317a2,calendario_regra_jurisdicional,1,pending,blocked,notificacao compulsoria tentativa de suicidio e notificacao imediata em ate 24h no ambito municipal (portaria ms/gm nº 1.271/2014) violencia autoprovocada consta na lista de notificacao compulsoria desde a portaria ms/gm nº 104/2011 4 emergencias p 43 confirmado,1.271 ; 104 ; 2011 ; 2014 ; 24h ; 43,,,,
candidate-claim:d829cc46f3088e5c6eca,calendario_regra_jurisdicional,1,pending,blocked,oms 10-19/20 anos eca 12-18 anos internacao pediatrica ate 13a11m29d hebiatria (hebe = deusa grega da juventude) puberdade menina 8-13a menino 9-14a 1º sinal puberal mamilo (menina) / testiculo (menino) etapa inicial 10-14a media 15-17a tardia 18-20a adolescencia prolongada 20-24a limite de confidencialidade = risco de morte notificacao compulsoria aborto gravidez drogas anorexia/bulimia autolesao codigo de etica medica cap ix (segredo medico) tanner mp (mama+pubarca) feminino gp (genitalia+pubarca) masculino,10 ; 12 ; 15 ; 18 ; 18 anos ; 19 ; 20 ; 20 anos ; 8 ; 9,,gravidez,,oms
candidate-claim:c578e75640d9b9661f33,calendario_regra_jurisdicional,1,pending,blocked,pni 2026 · agenda oportuna · atualizacao do cartao · nao reiniciar · hpv4 dose,2026,,,,pni
candidate-claim:3b14002d01f048f37ffb,calendario_regra_jurisdicional,1,pending,blocked,pni pode mudar durante o ano,,,,,pni
candidate-claim:a0b3d50b2b3b0bf5757c,calendario_regra_jurisdicional,1,pending,blocked,prazo de notificacao compulsoria de tentativa ate 24h (ambito municipal) dado,24h,,,,
candidate-claim:d10062467b3c02efa661,calendario_regra_jurisdicional,1,pending,blocked,reuso de capilares no sus proibido em hepatite b (sala separada) hepatite c e hiv (risco de contaminacao) anotac o es trs p 2 confirmado (fonte unica),2,,,,sus
candidate-claim:03849ca0289748f6d0d0,calendario_regra_jurisdicional,1,pending,blocked,sequencia de re-biopsia (sus) 1) padrao (12 frag ) → 2) padrao repetida ou saturacao (16-20 frag ) → 3) guiada por rnm multiparametrica com fusao → 4) rtu (colhe zona periuretral ~10% dos cap) anotac o es ca ncer de pro stata p 4 urologia ca ncer de pro stata p 4 confirmado (2 fontes b convergentes confirmar no slide),1 ; 10 ; 12 ; 16 ; 2 ; 20 ; 3 ; 4,,,,sus
candidate-claim:67b5828cd2e060990021,calendario_regra_jurisdicional,1,pending,blocked,sibutramina inibidor de recaptacao de ne/serotonina retirada do mercado em 2010 (ema/fda/health canada) por aumento de eventos cv (iam nao fatal avc nao fatal morte cv pcr ressuscitada) anvisa (2011) permite uso cauteloso dose 10mg/dia maximo 15mg/dia obesidade e sind metabolica p 6 confirmado,10mg ; 15mg ; 2010 ; 2011 ; 6,,,,anvisa
candidate-claim:b015a7943ff2f6b849cc,calendario_regra_jurisdicional,1,pending,blocked,sinal de koplik descamacao furfuracea vs lamelar adenopatia retroauricular/occipital face esbofeteada exantema rendilhado febre >5 dias conjuntivite nao exsudativa aneurisma de coronaria bloqueio vacinal 72h notificacao compulsoria,5 dias ; 72h,,,,
candidate-claim:63c858b7c63eb3ee6ccc,calendario_regra_jurisdicional,1,pending,blocked,terapia modificadora de doenca por fenotipo (consenso brasileiro fig 2) cis baixo risco sem tratamento cis alto risco/em-rr baixa-moderada atividade interferons beta 1a/1b dimetilfumarato glatiramer peg-interferon teriflunomida em-rr alta atividade alentuzumabe cladribina fingolimode natalizumabe ocrelizumabe spms nao ativa sem tratamento empp ocrelizumabe alternativas tcth autologo ciclofosfamida ivig mitoxantrona rituximabe ( nao aprovados pela anvisa para em) doenc as desmielinizantes pptx p 38 (figura fotografada arq neuropsiquiatr 2018;76(8) 539-554) confirmado,2 ; 2018 ; 38 ; 539 ; 554 ; 76 ; 8,,,alta,anvisa
candidate-claim:28a6bedd320f897e7f31,calendario_regra_jurisdicional,1,pending,blocked,teste do coracaozinho · fisiologia canal-dependente · circulacao em paralelo · sopro de still (inocente) · sopro patologico (≥3+ holossistolico borda esternal alta) · diferencial de pa mmssxmmii >10mmhg · coarctacao de aorta · criterios de duke · profilaxia de endocardite · calendario vacinal diferenciado pos-cc,10mmhg ; 3,,,alta,
candidate-claim:d190c2fafff9eeac67bd,calendario_regra_jurisdicional,1,pending,blocked,“hpv meninas 9–14 meninos 11–14 duas doses” era regra do slide rotina pni 2026 e 9–14a11m29d dose unica,11 ; 14 ; 2026 ; 9,,,,pni
candidate-claim:f8d4f4231eca0933b3e8,contraindicacao_interacao,1,pending,blocked,"""terapia dos 2 t's"" tansulosina 0,4mg (manha) + tadalafila 5mg (noite) nao associar tadalafila com doxazosina apostila p 121 confirmado","0,4mg ; 121 ; 2 ; 5mg",,,,
candidate-claim:0c5c4aa08925b23fc323,contraindicacao_interacao,1,pending,blocked,(1) a escolha da droga para hiperatividade detrusora depende da comorbidade do paciente nao e fixa has descontrolada contraindica simpaticomimetico (β3-agonista pode subir a pa) → usar antimuscarinico glaucoma de angulo estreito contraindica antimuscarinico (pode precipitar crise) → usar β3-agonista (mirabegrona) trocar essa logica e o erro central do tema (2) deficit de complacencia associado a hiperreflexia detrusora trata-se primeiro a hiperreflexia clinicamente (anticolinergico/botox) so indica enterocistoplastia (cirurgia definitiva) se essa medida falhar — pular direto para cirurgia e conduta precoce (3) bexiga arreflexa nunca usa sonda de demora (mantem a bexiga funcional/permite reabilitacao) — so cateterismo intermitente limpo (cic) 6/6h sonda de demora e reservada so para instabilidade hemodinamica transitoria,1 ; 2 ; 3 ; 6 ; 6h,,,,
candidate-claim:cedb2fb8b0bf6a32f9a2,contraindicacao_interacao,1,pending,blocked,"(1) biopsia testicular esta contraindicada diante de massa suspeita — a via escrotal (incisao puncao biopsia) aumenta o risco de recidiva local em mais de 7 vezes e dissemina para linfonodos inguinais (a pele escrotal drena para inguinal o testiculo drena para retroperitoneal — violar o escroto muda a rota de disseminacao) (2) alfafetoproteina (afp) nunca e produzida por seminoma puro — se um ""seminoma"" cursa com afp elevada o correto e pedir revisao da lamina (provavel componente nao seminomatoso nao identificado) nao aceitar o diagnostico como esta (3) massa residual pos-quimioterapia com marcadores negativos vai para resseccao cirurgica direta massa residual com marcadores positivos indica doenca sistemica ativa e exige quimioterapia de resgate antes de qualquer cirurgia",1 ; 2 ; 3 ; 7,,,,
candidate-claim:0fe09ff0ba75d0585f3c,contraindicacao_interacao,1,pending,blocked,(monitorar encorajar reengajar rotinas suporte familiar/social/espiritual) reavaliar na 3ª semana evitar benzodiazepinico como 1ª linha,,,,,
candidate-claim:da5d6b01deeed82eb4f1,contraindicacao_interacao,1,pending,blocked,- clozapina febre/infecao ou queda de anc exige hemograma/anc avaliacao de gravidade e protocolo da jurisdicao nao associar anticonvulsivante por memoria,,,,,
candidate-claim:5dced8549eeefe25c17e,contraindicacao_interacao,1,pending,blocked,- comando 3 cite a conduta cirurgica indicada se o paciente tiver contraindicacao a litotripsia extracorporea,3,,,,
candidate-claim:3db8c4ff876556c08e7c,contraindicacao_interacao,1,pending,blocked,- condicao da conduta biopsia previa so e indicada em caso de duvida diagnostica real e mesmo assim esta contraindicada se tumor cistico sindrome de malformacao associada lesao de dificil acesso lesoes bilaterais tipicas ou idade <7 meses (nesses casos nefrectomia direta),7 meses,,,,
candidate-claim:355c5835a92abf26fbc9,contraindicacao_interacao,1,pending,blocked,- condicao da conduta checar a tfg do paciente antes de qualquer exame contrastado (iodado ou gadolinio) checar contraindicacoes formais antes de indicar biopsia,,,,,
candidate-claim:6ebb7f48eb3a16bec704,contraindicacao_interacao,1,pending,blocked,- condicao da conduta checar bilirrubina direta antes de fototerapia — colestase contraindica pelo risco de sindrome do bebe bronzeado,,,,,
candidate-claim:94e630588fa07872ec08,contraindicacao_interacao,1,pending,blocked,- condicao da conduta cirurgia no prolactinoma so se crescimento apesar do medicamento intolerancia/resistencia/contraindicacao ao agonista compressao do quiasma optico ou fistula liquorica,,,,,
candidate-claim:b62a269d09932fc772d3,contraindicacao_interacao,1,pending,blocked,- condicao da conduta cirurgia so em indicacao absoluta (ver tabela) ou intratabilidade clinica (ipss persistentemente alto apesar do tratamento) rtu se ≤80g prostatectomia transvesical se >80g urolift se contraindicacao cirurgica/anestesica sem lobo mediano laser se anticoagulante nao pode ser suspenso,80g,,,,
candidate-claim:8bb91878e4d16976c878,contraindicacao_interacao,1,pending,blocked,- condicao da conduta contraindicacao a corticoide pula direto para plasmaferese/ivig fenotipo progressivo primario (empp) tem opcao terapeutica restrita (ocrelizumabe),,,,,
candidate-claim:1e81ae45c288f98fdb9b,contraindicacao_interacao,1,pending,blocked,- condicao da conduta em crianca/adolescente ou gestante evitar quinolona sistemica em diabetico com otite externa refrataria sempre elevar a suspeita para oe maligna antes de escalar o tratamento topico,,,adolescente ; gestante,,
candidate-claim:158085f074e89a3ab262,contraindicacao_interacao,1,pending,blocked,- condicao da conduta em suspeita de perfuracao de mt nunca realizar lavagem para remocao de corpo estranho,,,,,
candidate-claim:2d161f418a8e753d761e,contraindicacao_interacao,1,pending,blocked,- condicao da conduta em urgencia sem fav pronta cateter temporario segue a ordem jugular direita > femoral > jugular esquerda > subclavia pra elevado contraindica o transplante ate resolucao,,,,,
candidate-claim:57fab028df580e06d4fb,contraindicacao_interacao,1,pending,blocked,- condicao da conduta escolha da droga (antimuscarinico x β3-agonista) condicionada a comorbidade (glaucoma de angulo estreito x has descontrolada) botox contraindicado em miastenia eaton-lambert gestacao/amamentacao coagulopatia uso de aminoglicosideo,,,,,
candidate-claim:946c4388c30d6c2765c4,contraindicacao_interacao,1,pending,blocked,- condicao da conduta escolha do farmaco depende de contraindicacao individual (orlistate x nefrolitiase por oxalato sibutramina x risco cv alto),,,,,
candidate-claim:8b92287f85492c59d48b,contraindicacao_interacao,1,pending,blocked,- condicao da conduta fimose → tratamento topico (postec) em primeira linha cirurgia so se fimose verdadeira balanopostite/itu de repeticao ou erecao dolorosa em adolescente/adulto jovem — checar contraindicacoes (hipospadia epispadia prematuridade penis embutido) antes,,,adolescente ; adulto,primeira linha,
candidate-claim:cd4e4976e44c5583ccb7,contraindicacao_interacao,1,pending,blocked,- condicao da conduta funcao renal (su idpp-4) presenca de ic (evitar saxa/alogliptina) necessidade de beneficio cv comprovado (define qual glp-1 ra),1 ; 4,,,,
candidate-claim:f7fbff2cb6e75a3f9bdd,contraindicacao_interacao,1,pending,blocked,- condicao da conduta gestante muda a escolha de droga (evita valproato) idoso muda a escolha (evita carbamazepina/oxcarbazepina fenitoina) refratariedade apos anos de tratamento (30-35% dos casos) leva a investigacao cirurgica com video-eeg,30 ; 35,,gestante ; idoso,,
candidate-claim:0e38f5d1da9b68cf6892,contraindicacao_interacao,1,pending,blocked,- condicao da conduta idade <1 ano contraindica terapia empirica 1-2 anos,1 ; 2 anos,,,,
candidate-claim:76c7acaf9af20a8d0ff1,contraindicacao_interacao,1,pending,blocked,- condicao da conduta instabilidade hemodinamica muda toda a sequencia diagnostica no trauma (pula a tc vai direto para usg fast/laparotomia) presenca de sinal de alerta (red flag taquipneia rnc hipotensao febre taquicardia) numa litiase obstruida com pielonefrite muda a conduta de analgesia isolada para drenagem urgente + antibiotico - diferencial perigoso bexigoma (retencao urinaria aguda com massa hipogastrica palpavel) e emergencia que exige sondagem vesical imediata (ou cistostomia se a sonda nao passar) trauma de uretra e a situacao em que sondar — a conduta mais reflexa de um medico diante de retencao urinaria — e justamente a contraindicacao,,,,aguda,
candidate-claim:a4f41a83aa88487cb656,contraindicacao_interacao,1,pending,blocked,- condicao da conduta nunca prescrever antidepressivo isolado em paciente bipolar (associar,,,,,
candidate-claim:d7a7314475f44bdb8926,contraindicacao_interacao,1,pending,blocked,- condicao da conduta nunca prescrever antidepressivo isolado sem antes descartar bipolaridade,,,,,
candidate-claim:d054ae4283d971f2bb2f,contraindicacao_interacao,1,pending,blocked,- condicao da conduta pl so se sinais meningeos <12m 12-18m a criterio medico ou crise complicada — e so se nao houver contraindicacao (glasgow<12 choque septico hic coagulopatia suspeita de meningococcemia hemorragica),12,,,,
candidate-claim:039c72c9527693e01b3d,contraindicacao_interacao,1,pending,blocked,- condicao da conduta plano c reservado para perda de peso >10% contraindicacao de tro (ileo paralitico abdome agudo alteracao de consciencia/convulsoes) choque hipovolemico vomitos biliosos/incontrolaveis ou falha comprovada da tro — expansao por faixa etaria (30+70 ml/kg tempo variando conforme <1 ano ou ≥1 ano rn/cardiopata grave 10 ml/kg em 30 min),1 ; 10 ; 10 ml/kg ; 30 ; 30 min ; 70 ml/kg,,rn,agudo,
candidate-claim:fa6203e15cece530cfa7,contraindicacao_interacao,1,pending,blocked,- condicao da conduta presenca de parkinsonismo muda a escolha de antipsicotico (evitar tipicos se suspeita de dlb) dominio cognitivo de entrada muda a hipotese diagnostica principal,,,,,
candidate-claim:fcea07aa1f8cab9f0c49,contraindicacao_interacao,1,pending,blocked,- condicao da conduta presenca de timoma na tc de torax muda a indicacao de timectomia na miastenia alergia a ovo de galinha contraindica imunoglobulina no gbs presenca de sinais de nmi muda elp para ela,,,,,
candidate-claim:b616a909b543b6f8ce97,contraindicacao_interacao,1,pending,blocked,- condicao da conduta puncao lombar so apos excluir as 4 contraindicacoes se contraindicada tratar empiricamente sem atrasar por causa do lcr,4,,,,
candidate-claim:2b6f04e4cb23d8332371,contraindicacao_interacao,1,pending,blocked,- condicao da conduta tfg muda a escolha do hipoglicemiante (metformina ate 30 sglt2i ate 20 para iniciar sem limite inferior para manter) nunca associar ieca+bra,20 ; 30,,,,
candidate-claim:79a3c59b89c117019e02,contraindicacao_interacao,1,pending,blocked,- criterio de parada acertar 5/5 casos de discriminacao wilms x neuroblastoma pela imagem (deslocamento vs distorcao do rim linha media) e citar de cor os 5 criterios de contraindicacao de biopsia previa sem consulta,5,,,,
candidate-claim:3e40cc3e6290ffa6f973,contraindicacao_interacao,1,pending,blocked,- criterio de parada aluno reconhece automaticamente a contraindicacao de dilatar pupila em olho vermelho doloroso e diferencia glaucoma de catarata por segmento anatomico + reversibilidade sem hesitar,,,,,
candidate-claim:51c1b3ef86fcbd4df44a,contraindicacao_interacao,1,pending,blocked,- criterio de parada distinguir corretamente delirium x demencia x quadro psiquiatrico primario em 3 vinhetas seguidas e nunca indicar bzd fora do contexto de abstinencia alcoolica,3,,,,
candidate-claim:fde453b74b96c53fc0bf,contraindicacao_interacao,1,pending,blocked,- criterio de parada identificar corretamente o antibiotico contraindicado e o criterio de hellp em 3 casos seguidos sem hesitar na faixa de risco por creatinina,3,,,,
candidate-claim:e87141e1e56864df6cc1,contraindicacao_interacao,1,pending,blocked,- criterio de parada nunca indicar biopsia escrotal reconhecer afp incompativel com seminoma puro e condicionar a conduta de massa residual ao resultado dos marcadores em 3 casos seguidos,3,,,,
candidate-claim:78a77752ef15515c0707,contraindicacao_interacao,1,pending,blocked,- criterio de parada resolver os 4 mini-casos aplicando corretamente a contraindicacao farmacologica por idade/farmaco e reconhecendo quando a vacina de influenza e obrigatoria sem reler o slide,4,,,,
candidate-claim:09f744176a6f27acba57,contraindicacao_interacao,1,pending,blocked,- criterio de parada resolver os 4 mini-casos aplicando corretamente contraindicacao de pl esquema atb por idade e quimioprofilaxia por agente sem reler o slide,4,,,,
candidate-claim:b10217b6fe72357b20cd,contraindicacao_interacao,1,pending,blocked,- criterio de parada resolver os 4 mini-casos apontando a classe correta e a contraindicacao relevante sem consultar a tabela,4,,,,
candidate-claim:5c71aeaf4d0773a3ab32,contraindicacao_interacao,1,pending,blocked,"- criterio do checklist (inferido) citar a escala/criterio correto antes de nomear a etiologia nao afirmar ""isquemico"" ou ""hemorragico"" so pela clinica sem citar o achado de imagem checar o tempo de inicio dos sintomas antes de propor conduta checar contraindicacoes antes de indicar trombolise",,,,,
candidate-claim:9e9c2254968b297eea51,contraindicacao_interacao,1,pending,blocked,- criterio do checklist (inferido) descrever a tecnica do toque retal e localizar a alteracao na prostata quando houver (usar a divisao em 6 regioes lobo direito/esquerdo x regiao basal/medio-basal/apical) citar o criterio objetivo (tamanho do calculo peso da prostata psa) antes de propor conduta checar contraindicacao de farmaco (nitrato com inibidor de fosfodiesterase glaucoma de angulo estreito com anticolinergico) antes de fechar a orientacao terapeutica,6,retal,,,
candidate-claim:ca64593951aa8c86f25a,contraindicacao_interacao,1,pending,blocked,- definitiva (acromegalia e cushing) cirurgia transesfenoidal e 1ª linha medicamento e adjuvante/segunda linha (cetoconazol no cushing analogo de somatostatina ou agonista dopaminergico na acromegalia) - condicao da conduta cirurgia no prolactinoma so se crescimento apesar do medicamento intolerancia/resistencia/contraindicacao ao agonista compressao do quiasma optico ou fistula liquorica,,,,segunda linha,
candidate-claim:04b92201573311e7e85c,contraindicacao_interacao,1,pending,blocked,- definitiva alfa-bloqueador (acao rapida 15–90 dias sintomas moderados/graves) ± inibidor de 5-α-redutase (so se prostata >40g terapia combinada precoce) ± anticolinergico/β3-agonista (predominio de sintomas de armazenamento) ± inibidor de pde5 (disfuncao eretil associada prostata >40g = terapia tetrade) - condicao da conduta cirurgia so em indicacao absoluta (ver tabela) ou intratabilidade clinica (ipss persistentemente alto apesar do tratamento) rtu se ≤80g prostatectomia transvesical se >80g urolift se contraindicacao cirurgica/anestesica sem lobo mediano laser se anticoagulante nao pode ser suspenso,15 ; 40g ; 5 ; 80g ; 90 dias,,,,
candidate-claim:d84e9b4da9c74c25a859,contraindicacao_interacao,1,pending,blocked,- definitiva atb dirigido pelo gram/cultura do lcr e antibiograma mantendo o esquema empirico se a coleta atrasar ajustar para os antibioticos especificos do quadro 4 (pneumococo por sensibilidade meningococo gram-negativos pseudomonas s aureus listeria) assim que o patogeno for identificado - condicao da conduta puncao lombar so apos excluir as 4 contraindicacoes se contraindicada tratar empiricamente sem atrasar por causa do lcr,4,,,,
candidate-claim:02273cbd67a598ce26b2,contraindicacao_interacao,1,pending,blocked,- definitiva biopsia renal para definicao histologica quando indicada e sem contraindicacao tratamento guiado pela histologia e na gnm pela estratificacao de risco (observacao em baixo risco imunossupressao a partir de moderado/alto risco),,,,,
candidate-claim:0da4fc7477f71c6b1276,contraindicacao_interacao,1,pending,blocked,- definitiva crise provocada/aguda sintomatica → tratar a causa sem droga anti-crise cronica crise nao provocada com criterio de epilepsia preenchido → droga anti-crise cronica escolhida por tipo de crise (focal x generalizada) comorbidades medicacoes continuas e contexto socio-cultural - condicao da conduta gestante muda a escolha de droga (evita valproato) idoso muda a escolha (evita carbamazepina/oxcarbazepina fenitoina) refratariedade apos anos de tratamento (30-35% dos casos) leva a investigacao cirurgica com video-eeg,30 ; 35,,gestante ; idoso,aguda,
candidate-claim:c026e2aef17915f8846a,contraindicacao_interacao,1,pending,blocked,- definitiva dentro da classe escolhida escolher o farmaco especifico pelo perfil renal/cardiaco/etario do paciente (gliclazida > glibenclamida em idoso/drc linagliptina > demais gliptinas em ir liraglutida/dulaglutida/semaglutida sc > demais glp-1 ra se meta e beneficio cv) - condicao da conduta funcao renal (su idpp-4) presenca de ic (evitar saxa/alogliptina) necessidade de beneficio cv comprovado (define qual glp-1 ra),1 ; 4,sc,idoso,,
candidate-claim:b3c66f4da140c02a8442,contraindicacao_interacao,1,pending,blocked,- definitiva depende do tipo/local — resseccao cirurgica (quando factivel sem alto risco funcional) + radioterapia craniospinal (quando indicada) + quimioterapia (exceto ependimoma sem beneficio comprovado) ou quimioterapia isolada (gliomas diencefalicos/via optica evitando cirurgia),,,,,
candidate-claim:d1b2febdc179404a8652,contraindicacao_interacao,1,pending,blocked,- definitiva entre as opcoes citadas preferir levetiracetam carbamazepina lamotrigina ou fenitoina evitar valproato fenobarbital topiramato e benzodiazepinicos quando houver alternativa eficaz para o tipo de crise,,,,,
candidate-claim:60e65dc452e5bdc8066d,contraindicacao_interacao,1,pending,blocked,- definitiva escalar para o exame indicado pela hipotese especifica — tc (padrao-ouro anatomico geral) angio-tc/arteriografia (avaliacao vascular/pre-transplante) uretrocistografia miccional (rvu/disfuncao miccional em crianca) cintilografia dtpa (funcao diferencial por rim) biopsia (glomerulonefrite/nefrite lupica) - condicao da conduta checar a tfg do paciente antes de qualquer exame contrastado (iodado ou gadolinio) checar contraindicacoes formais antes de indicar biopsia,,,,,
candidate-claim:c016e147196088ab811c,contraindicacao_interacao,1,pending,blocked,- definitiva esquema especifico por etiologia (ver tabela de precisao) gestantes trocam o esquema padrao (evitar tetraciclina/doxiciclina — usar eritromicina),,,gestantes,,
candidate-claim:9e8b2a30ee7bddccba3d,contraindicacao_interacao,1,pending,blocked,- definitiva farmacoterapia se imc≥30 (ou ≥27 com comorbidade) apos falha documentada de mev cirurgia bariatrica se imc≥40 (ou ≥35 com comorbidade) apos ≥2 anos de tratamento clinico respeitando contraindicacoes psiquiatricas/de uso de substancias e faixa etaria (16–65 anos),16 ; 2 anos ; 27 ; 30 ; 35 ; 40 ; 65 anos,,,,
candidate-claim:111ba8d8717292404269,contraindicacao_interacao,1,pending,blocked,- definitiva fototerapia guiada pelo nomograma aap (bilirrubina x horas de vida x fator de risco) exsanguineotransfusao se sinais de encefalopatia bilirrubinica aguda ou bilirrubina ≥5 mg/dl acima da linha do nomograma em rnpt usar tabela por faixa de peso (martin&cloherty) - condicao da conduta checar bilirrubina direta antes de fototerapia — colestase contraindica pelo risco de sindrome do bebe bronzeado,5 mg/dl,,,aguda,
candidate-claim:5e4296c30cc2f6212b29,contraindicacao_interacao,1,pending,blocked,- definitiva gbs — plasmaferese ou imunoglobulina venosa (checar alergia a ovo) ela — riluzol + medidas de manutencao (sem cura) miastenia gravis — anticolinesterasico sintomatico + tratamento da autoimunidade (plasmaferese/imunoglobulina na crise corticoide/imunossupressor/timectomia a longo prazo sempre apos tc de torax) duchenne — suporte sem cura nmdc — dieta e reabilitacao - condicao da conduta presenca de timoma na tc de torax muda a indicacao de timectomia na miastenia alergia a ovo de galinha contraindica imunoglobulina no gbs presenca de sinais de nmi muda elp para ela,,,,,
candidate-claim:563beb26ce3e6cb49a9c,contraindicacao_interacao,1,pending,blocked,- definitiva hemodialise dialise peritoneal ou transplante conforme perfil clinico e disponibilidade — nenhuma modalidade dialitica e superior a outra transplante tem melhor sobrevida quando viavel mas exige compatibilidade (abo/hla/pra/prova cruzada) e imunossupressao continua - condicao da conduta em urgencia sem fav pronta cateter temporario segue a ordem jugular direita > femoral > jugular esquerda > subclavia pra elevado contraindica o transplante ate resolucao,,,,,
